Accel Pedal;Coolant Temp;Engine Lambda;Engine Speed;Man Air Press;Mass Air Flow OBD;Rel Thrott Pos OBD;Spark Advance;Fuel Inj Amt
13;95;1.1;1518.8;73.3;10.49;8.9;35;14.649
13;95;1.1;1547.8;72.7;10.49;9;35;14.649
13;95;1.1;1577.6;73.1;10.49;9;35;14.649
13.3;95;1.1;1607;73.1;10.49;9;35;14.649
13.5;95;1.1;1636.5;73.1;10.49;9;35;14.649
13.5;95;1;1665.2;73.2;11.043;9;35;14.923
13.5;95;1;1683.9;72.8;12.07;9.3;35.7;14.923
13.5;95;1;1688.5;72.2;12.07;9.4;36;14.923
13.5;95;1;1691.9;72.3;12.07;9.4;36;14.923
13.5;95;1;1704.9;72.6;12.07;9.4;36;14.923
14.5;95;1;1723.1;72.7;12.07;9.4;36;14.923
14.5;95;1;1739.7;72.5;12.07;9.4;36;14.923
14.5;95;1;1731.2;72.5;12.159;9.4;36.2;15.076
14.5;95;1;1706;72.7;12.35;9.7;36.5;15.076
14.5;95;1;1648.1;75.4;12.35;9.8;36.5;15.076
14.5;95;1;1547.6;74.6;12.35;9.8;36.5;15.076
15.9;95;1;1445.7;78.7;12.35;9.8;36.5;15.076
17;95;1;1362.2;83;12.35;9.8;36.5;15.076
17;95;1;1298.2;85;12.35;9.8;36.5;18.98
17;95;1;1230.2;84.6;13.301;12.3;8.3;20.142
17;95;1;1286.2;84.3;13.53;12.9;1.5;20.142
17;95;1;1349.3;85.7;13.53;12.9;1.5;20.142
17.3;94.8;1;1369;85.8;13.53;12.9;1.5;20.142
19;94;1;1368.7;84.8;13.53;12.9;1.5;20.142
19;94;1;1347.6;84.5;13.53;12.9;1.5;21.63
19;94;1;1326.1;84;13.54;12.9;9.2;23.743
19;94;1;1306.6;84.3;13.55;12.9;16.5;23.743
19;94;1;1310.7;84.3;13.55;12.9;16.5;23.743
19;94;1;1343.6;84.3;13.55;12.9;16.5;23.743
19;94;1;1365.7;83.1;13.55;12.9;16.5;23.743
19;94;1;1390.2;82.1;13.55;12.9;16.5;23.362
19;94;1;1416.6;82.1;13.529;12.9;16.5;20.569
19;94;1;1442.8;81.9;13.48;12.7;20.6;20.569
19;94;1;1468.6;82.7;13.48;12.5;24.5;20.569
19;94;1;1479.8;83.6;13.48;12.5;24.5;20.569
19.2;93.8;1;1468.9;83.2;13.48;12.5;24.5;20.569
20;93;1;1368.6;85.2;13.48;12.5;24.5;20.569
20;93;1;1299.5;86.6;13.48;12.5;24.5;22.154
20;93;1;1268.7;87.7;14.149;12.5;18.7;24.659
20;93;1;1316.2;87.6;14.99;14.5;11.5;24.659
20;93;1;1353.2;87.2;14.99;16.1;11.5;24.659
20;93;1;1343.6;87;14.99;16.1;11.5;24.659
21.3;93;1;1315.7;86.7;14.99;16.1;11.5;24.659
21.5;93;1;1290.5;87;14.99;16.1;11.5;24.659
21.5;93;1;1265.5;86.8;14.989;16.1;11.5;25.727
21.5;93;1;1257.5;86.7;14.87;16;11.5;25.727
21.5;93;1;1268.6;87;14.87;15.3;11.5;25.727
21.5;93;1;1291.2;87.4;14.87;15.3;11.5;25.727
21.7;93;1;1311.9;86.9;14.87;15.3;11.5;25.727
22;93;1;1332.3;86.8;14.87;15.3;11.5;25.727
22;93;1;1340.9;86.7;14.87;15.3;11.5;25.644
22;93;1;1352.5;86;15.974;15.3;11.5;25.574
22;93;1;1368.1;85.8;16.53;15.3;9.5;25.574
22;93;1;1380.6;85;16.53;15.3;9;25.574
22;93;1;1403.4;84.3;16.53;15.3;9;25.574
22;92.7;1;1415.4;83.9;16.53;15.3;9;25.574
22;92;1;1430.5;84.2;16.53;15.3;9;25.574
22;92;1;1447.1;83.3;16.53;15.3;9;24.573
22;92;1;1448.7;83.7;16.484;15.3;12.2;24.17
22;92;1;1474.5;82.6;16.48;14.1;12.5;24.17
22;92;1;1484.2;81.7;16.48;14.1;12.5;24.17
22;92;1;1499.5;81.3;16.48;14.1;12.5;24.17
22;92;1;1510.6;81.4;16.48;14.1;12.5;24.17
22;92;1;1529.1;81.8;16.48;14.1;12.5;23.868
22;92;1;1536.6;80.5;16.544;14.1;15;22.492
22;92;1;1556;80.2;16.62;13.5;18;22.492
22;92;1;1570.8;82.1;16.62;13.3;18;22.492
22;92;1;1582.6;81.3;16.62;13.3;18;22.492
22.4;92;1;1593.8;80.9;16.62;13.3;18;22.492
22.5;92;1;1613.3;81.2;16.62;13.3;18;22.463
22.5;92;1;1626.6;79.7;16.992;13.3;18;21.973
22.5;92;1;1639.7;80.7;17.52;13.6;22.3;21.973
22.5;92;1;1654.2;80;17.52;13.7;23.5;21.973
22.5;92;1;1668.8;80.6;17.52;13.7;23.5;21.973
22.5;92;1;1680.8;79.8;17.52;13.7;23.5;21.973
23;92;1;1697.7;79.8;17.52;13.7;23.5;21.973
23;92;1;1712.6;79.8;17.52;13.7;23.5;22.19
23;92;1;1726.8;79.9;17.814;13.9;23.6;22.248
23;92;1;1737.4;80.1;18.79;14.5;24;22.248
23;92;1;1756.6;81.1;18.79;14.5;24;22.248
23;92;1;1771;80.6;18.79;14.5;24;22.248
24;91.9;1;1783.4;80.2;18.79;14.5;24;22.248
24;91;1;1797.8;80.9;18.79;14.5;24;22.248
24;91;1;1811.4;80.1;18.884;14.5;24;22.705
24;91;1;1826.7;80;19.65;14.8;23.7;22.705
24;91;1;1842.8;79.9;19.65;14.9;23.5;22.705
24;91;1;1853.1;79.9;19.65;14.9;23.5;22.705
24;91;1;1867.2;79.9;19.65;14.9;23.5;22.705
24;91;1;1881.2;80.3;19.65;14.9;23.5;22.705
24;91;1;1895.2;79.6;19.65;14.9;23.5;22.591
24;91;1;1917.6;79.1;20.78;14.9;23.5;22.431
24;91;1;1928.8;79.2;20.78;14.9;23.5;22.431
24;91;1;1944.3;79.5;20.78;14.9;23.5;22.431
24;91;1;1959.6;78.5;20.78;14.9;23.5;22.431
24;90.5;1;1971.4;78.6;20.78;14.9;23.5;22.431
24;90;1;1984.5;78.7;20.78;14.9;23.5;22.431
24;90;1;1992.2;78.3;20.78;14.9;23.5;22.256
24;90;1;2009.2;78.1;21.5;14.7;23.3;22.217
24;90;1;2022.8;76.1;21.5;14.5;23;22.217
24;90;1;2031.1;76.2;21.5;14.5;23;22.217
24;90;1;2038.3;77.1;21.5;14.5;23;22.217
25;90;1;2057.3;77.8;21.5;14.5;23;22.217
25;90;1;2039;79.4;21.5;14.5;23;22.217
25;90;1;1912.6;81.8;25.06;14.5;23;25.94
25;90;1;1774.5;87;27.72;19.6;-1;25.94
25;90;1;1635.8;86.2;27.72;19.6;-1;25.94
25;90;1;1517.8;87.2;27.72;19.6;-1;25.94
25.9;89.1;1;1480.9;87.1;27.72;19.6;-1;25.94
26;89;1;1476.8;87.5;27.72;19.6;-1;26.712
26;89;1;1493.6;87.7;26.859;19.6;-1;31.525
26;89;1;1503.1;88;25.44;20.1;2.8;31.525
26;89;1;1511.3;88.3;25.44;20.4;5;31.525
26;89;1;1519.1;88.8;25.44;20.4;5;31.525
26.2;89;1;1530.9;88.6;25.44;20.4;5;31.525
26.5;89;1;1542;88.6;25.44;20.4;5;31.525
26.5;89;1;1551.5;87.9;25.44;20.4;5;31.527
26.5;89;1;1561;88.8;24.383;20.4;5.2;31.586
26.5;89;1;1569;88.2;22.21;20.6;5.5;31.586
26.5;89;1;1578.5;87.4;22.21;20.8;5.5;31.586
26.5;89;1;1584.4;89.1;22.21;20.8;5.5;31.586
27.1;88.4;1;1596.3;89.2;22.21;20.8;5.5;31.586
27.5;88;1;1605.3;89.6;22.21;20.8;5.5;31.586
27.5;88;1;1614.2;88.7;22.21;20.8;5.5;32.532
27.5;88;1;1622.6;89.9;22.969;22.8;5.2;32.532
27.5;88;1;1636;90.5;23.4;23.9;5;32.532
27.5;88;1;1641.9;89.9;23.4;23.9;5;32.532
27.5;88;1;1651.9;89.7;23.4;23.9;5;32.532
28.5;88;1;1665;90.8;23.4;23.9;5;32.532
